"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"16","BB","National","1993-1996","Pregnant women","G","F","<25Y","K0987","Only the prevalence rate was given.  VCT.","P","Barbados","National","Kumar, A., H. St. White, A. O. Carter",2007,"Trends in the Uptake of Antenatal Voluntary Counselling and Testing for HIV and HIV Prevalence among Childbearing Women in …","West Indian Medical Journal, vol. 56, no. 1, pp. 60-65.","HIV","-1","-1","0.01","N/A","BW","ELISA*2, WB","N/A"
"17","BB","National","2001-2004","Pregnant women","G","F","<25Y","K0987","Only the prevalence rate was given.  VCT.","P","Barbados","National","Kumar, A., H. St. White, A. O. Carter",2007,"Trends in the Uptake of Antenatal Voluntary Counselling and Testing for HIV and HIV Prevalence among Childbearing Women in …","West Indian Medical Journal, vol. 56, no. 1, pp. 60-65.","HIV","-1","-1","0.00","N/A","BW","ELISA*2, WB","N/A"
"2","BC","National","2000-2001","Employees","N","B","<20Y","E0183","Only the prevalence rate was given.  From four mining firms.","P","Botswana","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","3.10","N/A","O","ELISA","N/A"
"6","BC","National","2000-2001","Employees","N","B","50Y+","E0183","Only the prevalence rate was given.  From four mining firms.","P","Botswana","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","19.10","N/A","O","ELISA","N/A"
"5","BC","National","2000-2001","Employees","N","B","40Y49Y","E0183","Only the prevalence rate was given.  From four mining firms.","P","Botswana","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","19.40","N/A","O","ELISA","N/A"
"3","BC","National","2000-2001","Employees","N","B","20Y29Y","E0183","Only the prevalence rate was given.  From four mining firms.","P","Botswana","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","21.90","N/A","O","ELISA","N/A"
"4","BC","National","2000-2001","Employees","N","B","30Y39Y","E0183","Only the prevalence rate was given.  From four mining firms.","P","Botswana","National","Evian, C., M. Fox, W. MacLeod, et al.",2004,"Prevalence of HIV in Workforces in Southern Africa, 2000-2001","South African Medical Journal, vol. 94, no. 2, pp. 125-130.","HIV","-1","-1","34.50","N/A","O","ELISA","N/A"
"6","BR","National","2007-2011","TB pts.","U","B","40Y59Y","D0663","National surveillance system records.  1 Jan. 07 - 31 Dec. 11.","P","Brazil","National","do Prado, T. N., A. E. Miranda, F. M. de Souza, et al.",2014,"Factors Associated with Tuberculosis by HIV Status in the Brazilian National Surveillance System: A Cross Sectional Study","BMC Infectious Diseases, vol. 14, pp. 1-8, <http://www.biomedcentral.com/1471-2334/14/415>, accessed on August 7, 2014.","HIV","17,554","-1","20.64","N/A","B","UNK","85,049"
"7","BR","National","2007-2011","TB pts.","U","B","60Y+","D0663","National surveillance system records.  1 Jan. 07 - 31 Dec. 11.","P","Brazil","National","do Prado, T. N., A. E. Miranda, F. M. de Souza, et al.",2014,"Factors Associated with Tuberculosis by HIV Status in the Brazilian National Surveillance System: A Cross Sectional Study","BMC Infectious Diseases, vol. 14, pp. 1-8, <http://www.biomedcentral.com/1471-2334/14/415>, accessed on August 7, 2014.","HIV","1,587","-1","6.40","N/A","B","UNK","24,812"
"4","BR","National","2007-2011","TB pts.","U","B","15Y19Y","D0663","National surveillance system records.  1 Jan. 07 - 31 Dec. 11.","P","Brazil","National","do Prado, T. N., A. E. Miranda, F. M. de Souza, et al.",2014,"Factors Associated with Tuberculosis by HIV Status in the Brazilian National Surveillance System: A Cross Sectional Study","BMC Infectious Diseases, vol. 14, pp. 1-8, <http://www.biomedcentral.com/1471-2334/14/415>, accessed on August 7, 2014.","HIV","715","-1","5.60","N/A","B","UNK","12,757"
